Pt,Site,Date,SPECIES,DENS,WPBR,MPB_ATTACK,RESTORATION,COMMENTS
1140,Bowron,17-Oct-23,Pa,Trace,low,no,n/a,
1141,Bowron,17-Oct-23,PaPos,low,no,no,n/a,
1142,Bowron,17-Oct-23,Pa,Trace,no,no,n/a,
1143,Bowron,17-Oct-23,Pa,Trace,low,no,n/a,
1144,Bowron,17-Oct-23,Pa,Trace,no,no,n/a,
1145,Bowron,17-Oct-23,Pa,Trace,no,no,n/a,
1146,Bowron,17-Oct-23,n/a,n/a,n/a,n/a,old burn,poor access
1147,Bowron,17-Oct-23,n/a,n/a,n/a,n/a,n/a,goats
1148,Bowron,17-Oct-23,n/a,n/a,n/a,n/a,n/a,goats
1149,Bowron,17-Oct-23,Pa,Trace,pos,no,,
1150,Bowron,17-Oct-23,Pa,Trace,no,no,,
1151,Bowron,17-Oct-23,Pa,Trace,no,no,,
1152,Bowron,17-Oct-23,Pa,low,pos,no,,
1153,Bowron,17-Oct-23,Pa,Trace,yes,no,,
1154,Bowron,17-Oct-23,Pa,Trace,no,no,,
1156,Bowron,17-Oct-23,Pa,Trace,no,n/a,,
1157,Bowron,17-Oct-23,Pa,low,yes,no,,
1158,Bowron,17-Oct-23,Pa,Trace,yes,no,,
1159,Bowron,17-Oct-23,Pa,Trace,yes,no,,
1160,Bowron,17-Oct-23,Pa,low,yes,no,,mostly dead
1161,Bowron,17-Oct-23,Pa,Trace,yes,yes,,
1162,Bowron,17-Oct-23,Pa,Trace,yes,yes,,
1163,Bowron,17-Oct-23,Pa,Mod,no,yes,,
1164,Bowron,17-Oct-23,Pa,Trace,no,no,,
1165,Bowron,17-Oct-23,n/a,n/a,n/a,n/a,,goats
1166,Bowron,17-Oct-23,Pa,Trace,no,no,,
1167,Bowron,17-Oct-23,Pa,Trace,pos,no,,
1168,Bowron,17-Oct-23,Pa,Trace,no,no,,
1169,Bowron,17-Oct-23,Pa,Trace,yes,no,,
1170,Bowron,17-Oct-23,Pa,Trace,yes,no,,
1171,Bowron,17-Oct-23,Pa,low,yes,no,,
1172,Bowron,17-Oct-23,Pa,Trace,no,no,,
1173,Bowron,17-Oct-23,Pa,Trace,n/a,n/a,,dead in fire
1174,Bowron,17-Oct-23,Pa,Trace,n/a,n/a,,dead in fire
1175,Bowron,17-Oct-23,Pa,Trace,yes,no,,
1176,Bowron,17-Oct-23,Pa,low,no,yes,,
1177,Bowron,17-Oct-23,Pa,low,no,yes,,
1178,Bowron,17-Oct-23,Pa,low,no,yes,,
1179,Bowron,17-Oct-23,Pa,low,no,yes,,
1180,Bowron,17-Oct-23,Pa,Trace,no,no,,
1181,Bowron,17-Oct-23,Pa,Trace,no,no,,
1182,Bowron,17-Oct-23,n/a,n/a,n/a,n/a,,caribou
1183,Bowron,17-Oct-23,Pa,low,no,yes,,
1184,Bowron,17-Oct-23,Pa,low,yes,yes,,
1185,Bowron,17-Oct-23,Pa,Trace,n/a,yes,,dead
1186,Bowron,17-Oct-23,Pa,low,yes,yes,,
1187,Bowron,17-Oct-23,Pa,Trace,yes,no,,
1188,Bowron,17-Oct-23,Pa,Trace,yes,no,,
1189,Bowron,17-Oct-23,Pa,Trace,n/a,n/a,,dead in fire
1190,Bowron,17-Oct-23,Pa,Trace,n/a,n/a,,dead in fire
1191,Bowron,17-Oct-23,Pa,low,no,yes,,
1192,Bowron,17-Oct-23,Pa,low,no,yes,,
1193,Bowron,17-Oct-23,Pa,Trace,no,yes,,
1194,Bowron,17-Oct-23,Pa,Trace,yes,no,,
1195,Bowron,17-Oct-23,Pa,Trace,no,yes,,
1196,Bowron,17-Oct-23,Pa,Trace,no,no,,
1197,Bowron,17-Oct-23,Pa,Trace,no,no,,
1198,Bowron,17-Oct-23,Pa,low,no,no,,
1199,Bowron,17-Oct-23,Pa,Trace,no,no,,
1200,Itchas,20-Oct-23,Pa,low,no,yes,,
1201,Itchas,20-Oct-23,Pa,low,no,yes,,
1202,Itchas,20-Oct-23,Pa,low,no,yes,,
1203,Itchas,20-Oct-23,Pa,low,no,yes,,
1204,Itchas,20-Oct-23,Pa,low,no,yes,,
1205,Itchas,20-Oct-23,Pa,Trace,no,yes,,
1206,Itchas,20-Oct-23,Pa,Trace,yes,yes,,
1207,Itchas,20-Oct-23,Pa,Trace,yes,yes,,
1208,Itchas,20-Oct-23,Pa,Trace,yes,yes,,
1209,Itchas,20-Oct-23,Pa,Trace,yes,yes,,
1210,Itchas,20-Oct-23,Pa,Trace,yes,no,,
1211,Itchas,20-Oct-23,Pa,low,no,no,,
1212,Itchas,20-Oct-23,Pa,low,low,no,,
1213,Itchas,20-Oct-23,Pa,low,low,yes,,
1214,Itchas,20-Oct-23,Pa,low,low,yes,,
1215,Itchas,20-Oct-23,Pa,Mod,no,high,,
1216,Itchas,20-Oct-23,Pa,low,yes,yes,,
1217,Itchas,20-Oct-23,Pa,low,no,yes,,
1218,Itchas,20-Oct-23,Pa,low,no,yes,,
1219,Itchas,20-Oct-23,Pa,low,no,yes,,
1220,Itchas,20-Oct-23,Pa,low,no,yes,,
1221,Itchas,20-Oct-23,Pa,low,no,yes,,
1222,Itchas,20-Oct-23,Pa,Trace,no,no,,
1223,Itchas,20-Oct-23,Pa,low,yes,no,,
1224,Itchas,20-Oct-23,Pa,Mod,yes,no,,
1225,Itchas,20-Oct-23,Pa,low,yes,yes,,
1226,Itchas,20-Oct-23,Pa,low,yes,yes,,
1227,Itchas,20-Oct-23,Pa,Trace,no,no,,
1228,Itchas,20-Oct-23,Pa,Trace,yes,no,,
1229,Itchas,20-Oct-23,caribou,n/a,n/a,n/a,,3 boo
1230,Itchas,20-Oct-23,Pa,Trace,yes,no,,
1231,Itchas,20-Oct-23,Pa,Mod,yes,yes,cones,
1232,Itchas,20-Oct-23,Pa,Trace,no,yes,,dead
1233,Itchas,20-Oct-23,Pa,Trace,no,no,,
1234,Itchas,20-Oct-23,Pa,Trace,no,no,,
1235,Itchas,20-Oct-23,Pa,Trace,no,no,,
1236,Itchas,20-Oct-23,Pa,low,low,no,,
1237,Itchas,20-Oct-23,Pa,Trace,low,no,,
1238,Itchas,20-Oct-23,Pa,low,low,no,,
1239,Itchas,20-Oct-23,Pa,low,low,no,,
1240,Itchas,20-Oct-23,Pa,low,low,n,,
1241,Itchas,20-Oct-23,Pa,low,low,no,,
1242,Itchas,20-Oct-23,Pa,low,low,no,,
1243,Itchas,20-Oct-23,Pa,low,low,no,,
1244,Itchas,20-Oct-23,Pa,Trace,low,no,,
1245,Itchas,20-Oct-23,Pa,Trace,low,no,,
1246,Itchas,20-Oct-23,Pa,Trace,no,yes,,
1247,Itchas,20-Oct-23,Pa,Trace,no,yes,,
1248,Itchas,20-Oct-23,Pa,low,yes,yes,,
1249,Itchas,20-Oct-23,Pa,low,yes,yes,,
1250,Itchas,20-Oct-23,Pa,low,yes,yes,,
1251,Itchas,20-Oct-23,Pa,low,yes,yes,,
1252,Itchas,20-Oct-23,goat,n/a,n/a,n/a,,21 goats
1253,Itchas,20-Oct-23,Pa,low,yes,yes,,
1254,Itchas,20-Oct-23,Pa,low,yes,yes,,
1255,Itchas,20-Oct-23,Pa,low,yes,no,,
1256,Itchas,20-Oct-23,Pa,Trace,yes,no,,
1257,Itchas,20-Oct-23,goat,n/a,n/a,n/a,,
1258,Itchas,20-Oct-23,Pa,Trace,yes,no,,
1259,Itchas,20-Oct-23,Pa,low,yes,no,,
1260,Itchas,20-Oct-23,Pa,low,yes,no,,
1261,Itchas,20-Oct-23,Pa,low,yes,no,,
1262,Itchas,20-Oct-23,Pa,low,yes,no,,
1263,Itchas,20-Oct-23,Pa,low,yes,no,,
1264,Itchas,20-Oct-23,Pa,low,no,no,,
1265,Itchas,20-Oct-23,goat,n/a,n/a,n/a,,4 goats
1266,Itchas,20-Oct-23,Pa,Trace,yes,yes,,
1267,Itchas,20-Oct-23,Pa,Trace,no,yes,,
1268,Itchas,20-Oct-23,Pa,low,no,yes,,
1269,Itchas,20-Oct-23,Pa,low,no,yes,,
1270,Itchas,20-Oct-23,Pa,Trace,no,yes,,
1271,Itchas,20-Oct-23,Pa,low,yes,no,,
1272,Itchas,20-Oct-23,Pa,low,yes,no,,
1273,Itchas,20-Oct-23,goat,n/a,n/a,n/a,,25 goats
1274,Itchas,20-Oct-23,caribou,n/a,n/a,n/a,,> 25 caribou + 40
1275,Itchas,20-Oct-23,Pa,low,no,yes,,
1276,Wells Gray,21-Oct-23,Pa,Trace,yes,no,,
1277,Wells Gray,21-Oct-23,Pl,n/a,n/a,n/a,,lodgepole
1278,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1279,Wells Gray,21-Oct-23,Pa,low,no,yes,,99% dead
1280,Wells Gray,21-Oct-23,Pa,Trace,no,yes,,dead
1281,Wells Gray,21-Oct-23,n/a,n/a,n/a,n/a,no plant,
1282,Wells Gray,21-Oct-23,n/a,n/a,n/a,n/a,"old fire, no access",
1283,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1284,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1285,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1286,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1287,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1288,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1289,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1290,Wells Gray,21-Oct-23,Pa,Trace,no,yes,,99% dead
1291,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1292,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1293,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1294,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1295,Wells Gray,21-Oct-23,Pa,low,no,yes,,dead
1296,Wells Gray,21-Oct-23,Pa,low,no,no,,"1 live, 99% dead"
1297,Wells Gray,21-Oct-23,Pa,low,no,no,,"1 live, 99% dead"
1298,Wells Gray,21-Oct-23,Pa,Mod,no,no,,dead
1299,Wells Gray,21-Oct-23,Pa,low,no,no,,dead
1300,Wells Gray,21-Oct-23,Pa,low,no,no,,dead
1301,Wells Gray,21-Oct-23,Pa,low,no,no,,dead
1302,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1303,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1304,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1305,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1306,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1307,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1308,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1309,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1310,Wells Gray,21-Oct-23,Pa,low,no,no,,dead
1311,Wells Gray,21-Oct-23,Pa,low,no,no,,dead
1312,Wells Gray,21-Oct-23,Pa,low,no,no,,mostly dead. Survivors in this area
1313,Wells Gray,21-Oct-23,Pa,low,no,no,,mostly dead. Survivors in this area
1314,Wells Gray,21-Oct-23,Pa,low,no,no,,mostly dead. Survivors in this area
1315,Wells Gray,21-Oct-23,Pa,low,no,no,,mostly dead. Survivors in this area
1316,Wells Gray,21-Oct-23,Pa,low,no,no,,mostly dead. Survivors in this area
1317,Wells Gray,21-Oct-23,Pa,low,no,no,,mostly dead. Survivors in this area
1318,Wells Gray,21-Oct-23,Pa,Trace,no,no,,mostly dead
1319,Wells Gray,21-Oct-23,Pa,Trace,no,no,,mostly dead
1320,Wells Gray,21-Oct-23,n/a,n/a,no,no,,potential plant?
1321,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1322,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1323,Wells Gray,21-Oct-23,Pa,Trace,yes,no,,alive with rust
1324,Wells Gray,21-Oct-23,Pa,Trace,yes,no,,alive with rust
1325,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1326,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1327,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1328,Wells Gray,21-Oct-23,Pa,Trace,no,no,,live!
1329,Wells Gray,21-Oct-23,Pa,Trace,no,no,,dead
1330,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1331,Wells Gray,21-Oct-23,Pa,low,,,,dead
1332,Wells Gray,21-Oct-23,Pa,low,,,,dead
1333,Wells Gray,21-Oct-23,Pa,low,,,,dead
1334,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1335,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1336,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1337,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1338,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1339,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1340,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1341,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1342,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1343,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1344,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1345,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1346,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1347,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1348,Wells Gray,21-Oct-23,Pa,low,,,,1 alive
1349,Wells Gray,21-Oct-23,Pa,low,,,,1 alive
1350,Wells Gray,21-Oct-23,Pa,Trace,,,,all dead
1351,Wells Gray,21-Oct-23,Pa,Trace,,,,all dead
1352,Wells Gray,21-Oct-23,Pa,Trace,,,,all dead
1353,Wells Gray,21-Oct-23,Pa,Trace,,,,all dead
1354,Wells Gray,21-Oct-23,Pa,Trace,,,,all dead
1355,Wells Gray,21-Oct-23,Pa,low,,,,dead
1356,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1357,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1358,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1359,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1360,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1361,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1362,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1363,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1364,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1365,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1366,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1367,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1368,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1369,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1370,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1371,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1372,Wells Gray,21-Oct-23,Pa,Trace,,,,90% dead
1373,Wells Gray,21-Oct-23,Pa,Trace,,,,90% dead
1374,Wells Gray,21-Oct-23,Pa,Trace,,,,90% dead
1375,Wells Gray,21-Oct-23,Pa,Trace,,,,90% dead
1376,Wells Gray,21-Oct-23,Pa,Trace,,,,90% dead
1377,Wells Gray,21-Oct-23,Pa,Trace,,,,90% dead
1378,Wells Gray,21-Oct-23,Pa,Trace,,,,90% dead
1379,Wells Gray,21-Oct-23,Pa,Trace,,,,90% dead
1380,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1381,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1382,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1383,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1384,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1385,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1386,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1387,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1388,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1389,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1390,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1391,Wells Gray,21-Oct-23,Pa,low,,,,90% dead
1392,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1393,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1394,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1395,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1396,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1397,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1398,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1399,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1400,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1401,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1402,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1403,Wells Gray,21-Oct-23,Pa,Trace,,,,Alive!
1404,Wells Gray,21-Oct-23,Pa,low,,,,70% dead
1405,Wells Gray,21-Oct-23,Pa,low,,,,70% dead
1406,Wells Gray,21-Oct-23,Pa,low,,,,70% dead
1407,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1408,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1409,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1410,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1411,Wells Gray,21-Oct-23,Pa,Trace,,,,dead
1412,Cariboo,22-Oct-23,Pa,low,,,,80 % dead
1413,Cariboo,22-Oct-23,Pa,low,,,,80 % dead
1414,Cariboo,22-Oct-23,Pa,low,,,,90 % dead
1415,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1416,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1417,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1418,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1419,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1420,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1421,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1422,Cariboo,22-Oct-23,Pa,Trace,,,,2 goats as well
1423,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1424,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1425,Cariboo,22-Oct-23,Pa,Trace,,,,80 % live
1426,Cariboo,22-Oct-23,Pa,Trace,,,,80 % live
1427,Cariboo,22-Oct-23,Pa,low,,,maybe transect,50 % live
1428,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1429,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1430,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1431,Cariboo,22-Oct-23,Pa,Trace,,,,50/50
1432,Cariboo,22-Oct-23,Pa,low,,,,50/50
1433,Cariboo,22-Oct-23,Pa,low,,,,50/51
1434,Cariboo,22-Oct-23,Pa,Trace,,,,70 dead
1435,Cariboo,22-Oct-23,Pa,Trace,,,,10 % dead
1436,Cariboo,22-Oct-23,Pa,Trace,,,,100 % dead
1437,Cariboo,22-Oct-23,Pa,Trace,,,,100 % dead
1438,Cariboo,22-Oct-23,Pa,Trace,,,,100 % dead
1439,Cariboo,22-Oct-23,Pa,Trace,,,,100 % dead
1440,Cariboo,22-Oct-23,Pa,Trace,,,,100 % dead
1441,Cariboo,22-Oct-23,potential cabin,n/a,,,,annie - potential cabin
1442,Cariboo,22-Oct-23,Pa,low,,,,50/50
1443,Cariboo,22-Oct-23,Pa,low,,,,90 alive
1444,Cariboo,22-Oct-23,Pa,Trace,,,,live
1445,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1446,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1447,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1448,Cariboo,22-Oct-23,Pa,Trace,,,,70 % dead
1449,Cariboo,22-Oct-23,goat,n/a,,,,goats
1450,Cariboo,22-Oct-23,Pa,Trace,,,,70 % dead
1451,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1452,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1453,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1454,Cariboo,22-Oct-23,goat,n/a,,,,goat
1455,Cariboo,22-Oct-23,goat,n/a,,,,goat
1456,Cariboo,22-Oct-23,Pa,low,,,,90 % dead
1457,Cariboo,22-Oct-23,Pa,low,,,,dead
1458,Cariboo,22-Oct-23,Pa,low,,,,dead
1459,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1460,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1461,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1462,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1463,Cariboo,22-Oct-23,Pa,Trace,,,,"dead in fire, hut"
1464,Cariboo,22-Oct-23,Pa,Trace,,,,hut
1465,Cariboo,22-Oct-23,Pa,Trace,,,"spot fire, august peak",road access?
1466,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1467,Cariboo,22-Oct-23,Pa,Mod,,,,90 % dead
1468,Cariboo,22-Oct-23,Pa,low,,,,90 % dead
1469,Cariboo,22-Oct-23,Pa,low,,,,90 % dead
1470,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1471,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1472,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1473,Cariboo,22-Oct-23,Pa,Mod,,,,90 % dead
1474,Cariboo,22-Oct-23,Pa,Mod,,,,90 % dead
1475,Cariboo,22-Oct-23,Pa,Mod,,,,90 % dead
1476,Cariboo,22-Oct-23,Pa,Mod,,,,90 % dead
1477,Cariboo,22-Oct-23,Pa,low,,,,90 % dead
1478,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1479,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1480,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1481,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1482,Cariboo,22-Oct-23,Pa,Trace,,,,dea
1483,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1484,Cariboo,22-Oct-23,Pa,Mod,,,,50/50
1485,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1486,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1487,Cariboo,22-Oct-23,Pa,Trace,yes,,,90 % dead
1488,Cariboo,22-Oct-23,Pa,Trace,,,,90 % dead
1489,Cariboo,22-Oct-23,Pa,low,,,,dead
1490,Cariboo,22-Oct-23,Pa,low,,,,dead
1491,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1492,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1493,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1494,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1495,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1496,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1497,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1498,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1499,Cariboo,22-Oct-23,Pa,Trace,,,,50/50
1500,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1501,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1502,Cariboo,22-Oct-23,Pa,low,,,,50/50
1503,Cariboo,22-Oct-23,Pa,Trace,yes,,,50/50
1504,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1505,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1506,Cariboo,22-Oct-23,Pa,Trace,yes,,,80 % dead
1507,Cariboo,22-Oct-23,Pa,Trace,,,,dead
1508,Cariboo,22-Oct-23,Pa,Trace,,,,1 alive
